id,npc_vertical_before,npc_horizontal_before,npc_behavior_before,pedestrian_vertical_before,pedestrian_horizontal_before,pedestrian_direction_x_before,pedestrian_direction_y_before,pedestrian_speed_before,weather_sun_angle_before,weather_fog_density_before,npc_vertical_n,npc_horizontal_n,npc_behavior_n,pedestrian_vertical_n,pedestrian_horizontal_n,pedestrian_direction_x_n,pedestrian_direction_y_n,pedestrian_speed_n,weather_sun_angle_n,weather_fog_density_n,npc_vertical_rp,npc_horizontal_rp,npc_behavior_rp,pedestrian_vertical_rp,pedestrian_horizontal_rp,pedestrian_direction_x_rp,pedestrian_direction_y_rp,pedestrian_speed_rp,weather_sun_angle_rp,weather_fog_density_rp,npc_vertical_silence,npc_horizontal_silence,npc_behavior_silence,pedestrian_vertical_silence,pedestrian_horizontal_silence,pedestrian_direction_x_silence,pedestrian_direction_y_silence,pedestrian_speed_silence,weather_sun_angle_silence,weather_fog_density_silence,npc_vertical,npc_horizontal,npc_behavior,pedestrian_vertical,pedestrian_horizontal,pedestrian_direction_x,pedestrian_direction_y,pedestrian_speed,weather_sun_angle,weather_fog_density
generation_0_individual_1_cell_0,0.7317777678269203,0.5473404902466333,0.0488050746927745,0.2791718852247989,0.8425049291238301,0.2248543484432092,0.2105501277129276,0.6114956446768514,0.5830417015180479,0.5406992597262035,False,False,False,False,False,False,False,True,True,True,0.0165580701197154,0.8548327954782875,0.7081545799033205,0.5257651601174154,0.5509062198396503,0.8970922007166142,0.987368996144176,0.5369370817828134,0.4759719064249978,0.4835369956019093,False,False,False,False,False,False,False,False,False,False,0.7317777678269203,0.5473404902466333,0.0488050746927745,0.2791718852247989,0.8425049291238301,0.2248543484432092,0.2105501277129276,0.6114956446768514,0.5830417015180479,0.5406992597262035
generation_0_individual_2_cell_0,0.7097857586472415,0.102924139031154,0.7416102016611079,0.3980831008805655,0.4587717594912777,0.5461174364550222,0.9144172754514012,0.459484975212438,0.389980597701928,0.2734307725737414,True,True,True,True,True,False,False,False,False,False,0.595944480969688,0.9540131818342976,0.3990671050266201,0.9255306042236784,0.3375732807654004,0.7992162672860942,0.1101406006073598,0.6560352576196028,0.2500756852218253,0.8334228724543795,False,False,False,False,False,False,False,False,False,False,0.7097857586472415,0.102924139031154,0.7416102016611079,0.3980831008805655,0.4587717594912777,0.5461174364550222,0.9144172754514012,0.459484975212438,0.389980597701928,0.2734307725737414
generation_0_individual_3_cell_0,0.5806833392276599,0.4281359364666806,0.3428486262929972,0.2881869466224911,0.8946845096264784,0.5606476552683214,0.7645511282746782,0.7631516593487128,0.5677237935408985,0.6372663975364574,True,True,True,False,True,True,True,False,False,False,0.345245877564917,0.5023612426387679,0.2902054593364057,0.5708118276888827,0.0878603413136126,0.2331943943671773,0.6909449247237934,0.5541363945432418,0.8946340829447503,0.9094040478711408,False,False,False,False,False,False,False,False,False,False,0.5806833392276599,0.4281359364666806,0.3428486262929972,0.2881869466224911,0.8946845096264784,0.5606476552683214,0.7645511282746782,0.7631516593487128,0.5677237935408985,0.6372663975364574
generation_0_individual_4_cell_0,0.8620385882163617,0.9299461214452256,0.3833581855448842,0.9448811202607768,0.3066227094015746,0.7445703989548017,0.0634695892324425,0.7815640062165821,0.6730098323312017,0.7634451031661333,True,True,True,False,False,False,True,True,True,False,0.2722703306213345,0.9420966623495391,0.21643798123783,0.8835303173477036,0.9925803197327286,0.7581613602221738,0.9532366617861384,0.5218681542620527,0.4412538982786529,0.5766360152173042,False,False,False,False,False,False,False,False,False,False,0.8620385882163617,0.9299461214452256,0.3833581855448842,0.9448811202607768,0.3066227094015746,0.7445703989548017,0.0634695892324425,0.7815640062165821,0.6730098323312017,0.7634451031661333
generation_0_individual_5_cell_0,0.0001560106082776,0.6335016172034039,0.5923533744901375,0.1236959517963918,0.6211962678773125,0.3500544978511207,0.1075433384264752,0.1819886698809201,0.0928339518798679,0.335607878910668,False,False,False,False,False,False,False,True,True,True,0.5360273861226653,0.9991734336665502,0.1693506038072093,0.1152050101801525,0.6329903413427197,0.2078672179659823,0.5705737911173427,0.7692095876857094,0.8592259385469221,0.9539958905027052,False,False,False,False,False,False,False,False,False,False,0.0001560106082776,0.6335016172034039,0.5923533744901375,0.1236959517963918,0.6211962678773125,0.3500544978511207,0.1075433384264752,0.1819886698809201,0.0928339518798679,0.335607878910668
generation_0_individual_6_cell_0,0.3092341187644888,0.4037677621529082,0.7099912226668875,0.8424679026753638,0.8768648196996733,0.2189746611723956,0.9630533814255448,0.6114956446768514,0.7480803975590421,0.6908984268414149,False,False,False,False,False,True,True,True,False,False,0.2868902992270284,0.1325310354304461,0.8045898724781563,0.8843835135242639,0.8587052887060722,0.9446549016578404,0.4235528394828834,0.8692680985113116,0.5415415294993039,0.3947231158182972,False,False,False,False,False,False,False,False,False,False,0.3092341187644888,0.4037677621529082,0.7099912226668875,0.8424679026753638,0.8768648196996733,0.2189746611723956,0.9630533814255448,0.6114956446768514,0.7480803975590421,0.6908984268414149
generation_0_individual_7_cell_0,0.978512667732358,0.0953281170673231,0.9473173189048828,0.6967278781411094,0.6335718739192405,0.4665878698966459,0.7269959015062268,0.0459250199038022,0.5830417015180479,0.5406992597262035,False,False,False,False,False,True,True,True,False,False,0.9205737087004062,0.4025280184309266,0.5850100766404593,0.2629015117550547,0.7093418951822308,0.8700527368802181,0.9754292009008456,0.99585040859482,0.0747237480811906,0.8521244991728315,False,False,False,False,False,False,False,False,False,False,0.978512667732358,0.0953281170673231,0.9473173189048828,0.6967278781411094,0.6335718739192405,0.4665878698966459,0.7269959015062268,0.0459250199038022,0.5830417015180479,0.5406992597262035
generation_0_individual_8_cell_0,0.5849539786419558,0.4659304346632786,0.7503679687753808,0.1600381077125883,0.3841007376323926,0.2550860884951069,0.339756636186833,0.6068523667621976,0.9363646523784316,0.8073156088585535,False,False,True,True,True,False,False,False,False,False,0.2016167893663959,0.3720595069845216,0.1205496490349658,0.0273214158398313,0.7247336684985404,0.1025953652005143,0.0872780757775788,0.144663970166324,0.0429656162756791,0.8985839714380333,False,False,False,False,False,False,False,False,False,False,0.5849539786419558,0.4659304346632786,0.7503679687753808,0.1600381077125883,0.3841007376323926,0.2550860884951069,0.339756636186833,0.6068523667621976,0.9363646523784316,0.8073156088585535
generation_0_individual_9_cell_0,0.2466266768904957,0.6806532895440907,0.603333488750652,0.0022925700165143,0.9984018922594228,0.8149529225419871,0.2174706247394804,0.9657397515648712,0.2396247377667781,0.947378328978876,False,False,False,False,False,False,False,False,False,False,0.8542577009911808,0.4342622208332634,0.6941217262852649,0.2455963505215026,0.886931540091476,0.5937838690436156,0.6563235581103604,0.9419155901876624,0.21776271246365,0.9556831975594144,False,False,False,False,False,False,False,False,False,False,0.2466266768904957,0.6806532895440907,0.603333488750652,0.0022925700165143,0.9984018922594228,0.8149529225419871,0.2174706247394804,0.9657397515648712,0.2396247377667781,0.947378328978876
generation_0_individual_10_cell_0,0.2466266768904957,0.7194416375856898,0.7138593569157975,0.9547070617025494,0.5457241893743406,0.8149529225419871,0.2174706247394804,0.9657397515648712,0.2396247377667781,0.947378328978876,False,True,True,True,False,False,False,False,False,False,0.0702727243518774,0.4615946967762372,0.6504086102983091,0.9377347445132526,0.5690848719270147,0.4666613199621824,0.6256158200809769,0.7961195886485881,0.5551528894850392,0.4086866514093465,False,False,False,False,False,False,False,False,False,False,0.2466266768904957,0.7194416375856898,0.7138593569157975,0.9547070617025494,0.5457241893743406,0.8149529225419871,0.2174706247394804,0.9657397515648712,0.2396247377667781,0.947378328978876
