id,npc_vertical_before,npc_horizontal_before,npc_behavior_before,pedestrian_vertical_before,pedestrian_horizontal_before,pedestrian_direction_x_before,pedestrian_direction_y_before,pedestrian_speed_before,weather_sun_angle_before,weather_fog_density_before,npc_vertical_n,npc_horizontal_n,npc_behavior_n,pedestrian_vertical_n,pedestrian_horizontal_n,pedestrian_direction_x_n,pedestrian_direction_y_n,pedestrian_speed_n,weather_sun_angle_n,weather_fog_density_n,npc_vertical_rp,npc_horizontal_rp,npc_behavior_rp,pedestrian_vertical_rp,pedestrian_horizontal_rp,pedestrian_direction_x_rp,pedestrian_direction_y_rp,pedestrian_speed_rp,weather_sun_angle_rp,weather_fog_density_rp,npc_vertical_silence,npc_horizontal_silence,npc_behavior_silence,pedestrian_vertical_silence,pedestrian_horizontal_silence,pedestrian_direction_x_silence,pedestrian_direction_y_silence,pedestrian_speed_silence,weather_sun_angle_silence,weather_fog_density_silence,npc_vertical,npc_horizontal,npc_behavior,pedestrian_vertical,pedestrian_horizontal,pedestrian_direction_x,pedestrian_direction_y,pedestrian_speed,weather_sun_angle,weather_fog_density
generation_0_individual_1_cell_0,0.252392789206212,0.1081730196435523,0.0,0.7639650331491749,0.3943423290071387,0.4330933293854753,0.2721637982025209,0.6698040257893891,0.0649722342078031,0.1672761574422172,False,False,True,True,True,False,False,False,False,False,0.194509799210452,0.7662123450344045,0.0262676102522385,0.3053605363936721,0.152798846225817,0.0767745280933567,0.3570326758076313,0.9268460222147794,0.7966908067259351,0.5948308575838336,False,False,True,False,False,False,False,False,False,False,0.252392789206212,0.1081730196435523,0.0,0.7639650331491749,0.3943423290071387,0.4330933293854753,0.2721637982025209,0.6698040257893891,0.0649722342078031,0.1672761574422172
generation_0_individual_2_cell_0,0.1404340379898127,0.5486692063258317,0.5335968763760521,0.0950889676804832,0.0,0.7776526903800542,0.5383860016119141,0.98167568863285,0.100124880327418,0.0789377841157025,True,True,True,True,True,False,False,False,True,True,0.9547278832149622,0.6705291391245128,0.2876337878524515,0.4953348017452194,0.0737189942802967,0.4332903802983622,0.6007349372592482,0.8846634805563973,0.5674612868347214,0.2000726467765955,False,False,False,False,True,False,False,False,False,False,0.1404340379898127,0.5486692063258317,0.5335968763760521,0.0950889676804832,0.0,0.7776526903800542,0.5383860016119141,0.98167568863285,0.100124880327418,0.0789377841157025
generation_0_individual_3_cell_0,0.3025955708568494,0.3007115426234318,0.1515836665983937,0.8815475483681561,0.6551131989306632,0.2545282150948338,0.9147292111786728,0.9028124299575628,0.0952514787595728,0.3172160131421179,True,True,False,True,True,True,False,False,False,False,0.1856769494947383,0.8078920008919334,0.6137239535807331,0.9006251723586913,0.7000567670775546,0.9890410788913024,0.9378983132250944,0.977848206828676,0.2286275155977185,0.1346208546037741,False,False,False,False,False,False,False,False,False,False,0.3025955708568494,0.3007115426234318,0.1515836665983937,0.8815475483681561,0.6551131989306632,0.2545282150948338,0.9147292111786728,0.9028124299575628,0.0952514787595728,0.3172160131421179
generation_0_individual_4_cell_0,0.9263115088376532,0.8080130100059566,0.6717275313532426,0.0803103296212086,0.927748424698437,0.7069859851426571,0.0610674010627052,0.98167568863285,0.0952514787595728,0.3172160131421179,True,True,True,False,False,False,False,False,False,False,0.3305703955174748,0.6694293202806569,0.5291543445072395,0.265615847798888,0.09692583860156,0.3267437421306737,0.8238493647380589,0.8630496567280627,0.7907208146469794,0.552399563289398,False,False,False,False,False,False,False,False,False,False,0.9263115088376532,0.8080130100059566,0.6717275313532426,0.0803103296212086,0.927748424698437,0.7069859851426571,0.0610674010627052,0.98167568863285,0.0952514787595728,0.3172160131421179
generation_0_individual_5_cell_0,0.3025955708568494,0.3007115426234318,0.1515836665983937,0.8815475483681561,0.6551131989306632,0.2545282150948338,0.5383860016119141,0.2187115139657729,0.4840309282124823,0.8289743043266419,True,True,True,True,True,True,True,False,False,False,0.3308640639370635,0.9072191586043944,0.1360276583403712,0.3366062820034942,0.903746557262482,0.0499202247230754,0.9534388635345304,0.0920387377699039,0.5524926157353112,0.9937587375209712,False,False,False,False,False,False,False,False,False,False,0.3025955708568494,0.3007115426234318,0.1515836665983937,0.8815475483681561,0.6551131989306632,0.2545282150948338,0.5383860016119141,0.2187115139657729,0.4840309282124823,0.8289743043266419
generation_0_individual_6_cell_0,0.2585619583453666,0.1614848815945926,0.9837197342604032,0.4188307046350204,0.6551131989306632,0.2545282150948338,0.5383860016119141,0.98167568863285,0.0952514787595728,0.3172160131421179,False,False,False,False,True,True,True,True,True,True,0.4282771162650126,0.2477464042397268,0.2092603161446825,0.8880070597833041,0.9348257341178664,0.5880067115467833,0.2940208221087254,0.8972130096786544,0.5204050636028176,0.6140055702809968,False,False,False,False,False,False,False,False,False,False,0.2585619583453666,0.1614848815945926,0.9837197342604032,0.4188307046350204,0.6551131989306632,0.2545282150948338,0.5383860016119141,0.98167568863285,0.0952514787595728,0.3172160131421179
generation_0_individual_7_cell_0,0.3025955708568494,0.3007115426234318,0.1515836665983937,0.8815475483681561,0.6832995251009452,0.8013951147844247,0.3948406078031145,0.6118563510192346,0.2908422655917568,0.2294344838726025,False,False,False,False,False,False,False,False,False,False,0.5089313187796837,0.7924514694141027,0.0516073936751294,0.2484298268038081,0.2964892100383619,0.3886761706977752,0.3583257070268193,0.2839953964662209,0.4535487841146756,0.1541436970420948,False,False,False,False,False,False,False,False,False,False,0.3025955708568494,0.3007115426234318,0.1515836665983937,0.8815475483681561,0.6832995251009452,0.8013951147844247,0.3948406078031145,0.6118563510192346,0.2908422655917568,0.2294344838726025
generation_0_individual_8_cell_0,0.3025955708568494,0.1081730196435523,0.8344114728140722,0.7639650331491749,0.6551131989306632,0.1572441375074502,0.7632292590710397,0.6698040257893891,0.0649722342078031,0.1672761574422172,False,True,True,True,False,False,False,True,True,True,0.3021787323933854,0.2391460811032861,0.4788081208542507,0.3899029131527302,0.2703266095261236,0.612234264190425,0.6151425526288836,0.9541789884323906,0.9478236757870458,0.4567726253136309,False,False,False,False,False,False,False,False,False,False,0.3025955708568494,0.1081730196435523,0.8344114728140722,0.7639650331491749,0.6551131989306632,0.1572441375074502,0.7632292590710397,0.6698040257893891,0.0649722342078031,0.1672761574422172
generation_0_individual_9_cell_0,0.5127702849540914,0.3007115426234318,0.1515836665983937,0.8815475483681561,0.3943423290071387,0.2545282150948338,0.5383860016119141,0.98167568863285,0.0952514787595728,0.3172160131421179,False,False,False,False,False,True,True,True,False,False,0.7192534580881177,0.1787862080297872,0.5088204190356583,0.9437015411311946,0.5051156115261857,0.5891735135108619,0.8255666238599675,0.8150857113458702,0.3715496478823527,0.7003541907755771,False,False,False,False,False,False,False,False,False,False,0.5127702849540914,0.3007115426234318,0.1515836665983937,0.8815475483681561,0.3943423290071387,0.2545282150948338,0.5383860016119141,0.98167568863285,0.0952514787595728,0.3172160131421179
generation_0_individual_10_cell_0,0.6309887987625619,0.3804183870519613,0.8580974626926197,0.8953992842437525,0.6366845762121577,0.8871459016596541,0.2692660083412468,0.4161992123462937,0.6546559823207154,0.8649474396280559,False,False,False,False,False,False,False,True,True,True,0.239219252645586,0.0261394246594626,0.7139865853589543,0.9229335967825024,0.5467540983927472,0.4106899043211704,0.736123723970152,0.6047950849118607,0.2573090262153501,0.0268720518442972,False,False,False,False,False,False,False,False,False,False,0.6309887987625619,0.3804183870519613,0.8580974626926197,0.8953992842437525,0.6366845762121577,0.8871459016596541,0.2692660083412468,0.4161992123462937,0.6546559823207154,0.8649474396280559
